trial,vizType,truePercent,reportedPercent,log2error
1,pie,47,50,1.6439
2,bar,31,30,0.1699
3,bar,18,19,0.1699
4,pie,28,34,2.6147
5,stacked,48,49,0.1699
6,bar,47,45,1.0875
7,pie,67,68,0.1699
8,bar,38,39,0.1699
9,bar,9,10,0.1699
10,pie,76,85,3.1898
11,stacked,44,45,0.1699
12,pie,67,68,0.1699
13,stacked,36,39,1.6439
14,bar,18,18,0.0000
15,stacked,48,43,2.3576
16,stacked,54,48,2.6147
17,bar,42,41,0.1699
18,pie,27,20,2.8329
19,stacked,17,19,1.0875
20,pie,26,21,2.3576
21,bar,9,12,1.6439
22,stacked,59,61,1.0875
23,pie,11,13,1.0875
24,stacked,96,96,0.0000
25,pie,56,54,1.0875
26,bar,70,70,0.0000
27,pie,87,81,2.6147
28,pie,73,74,0.1699
29,bar,80,85,2.3576
30,pie,19,14,2.3576
31,bar,75,78,1.6439
32,stacked,71,66,2.3576
33,pie,37,41,2.0444
34,bar,69,69,0.0000
35,stacked,89,88,0.1699
36,bar,53,51,1.0875
37,stacked,97,95,1.0875
38,pie,93,95,1.0875
39,stacked,34,27,2.8329
40,bar,72,69,1.6439
41,stacked,27,28,0.1699
42,bar,83,81,1.0875
43,pie,12,13,0.1699
44,pie,18,16,1.0875
45,stacked,29,29,0.0000
46,bar,40,42,1.0875
47,stacked,25,28,1.6439
48,stacked,91,91,0.0000
49,pie,67,61,2.6147
50,bar,61,61,0.0000
51,bar,73,71,1.0875
52,stacked,50,52,1.0875
53,pie,29,29,0.0000
54,stacked,67,67,0.0000
55,bar,2,0,1.0875
56,pie,41,40,0.1699
57,bar,51,52,0.1699
58,stacked,57,58,0.1699
59,pie,13,11,1.0875
60,stacked,62,62,0.0000
